                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.89213,                0.78769,                 1.3925,                0.90301,                0.91845,                0.95307,                0.71195,                0.99403,                0.67139,                 1.7683,                0.00241,                0.00241,                0.00241
                     94,                0.88607,                0.77681,                 1.3944,                0.90911,                0.90643,                0.95145,                0.71618,                 1.0063,                0.70023,                 1.7958,              0.0023275,              0.0023275,              0.0023275
                     95,                0.89313,                0.78108,                 1.3978,                0.90988,                0.90895,                 0.9566,                0.71809,                0.98916,                 0.6731,                 1.7575,               0.002245,               0.002245,               0.002245
                     96,                0.87304,                0.76562,                 1.3798,                0.91355,                 0.8858,                0.95761,                0.72386,                0.95768,                0.65077,                 1.7333,              0.0021625,              0.0021625,              0.0021625
                     97,                0.88476,                0.76221,                 1.3857,                0.91227,                0.92149,                0.95431,                0.71543,                 1.0111,                0.69531,                 1.7879,                0.00208,                0.00208,                0.00208
                     98,                0.88035,                0.76068,                 1.3776,                0.91167,                0.92427,                0.95934,                0.72463,                0.97107,                0.61013,                 1.7304,              0.0019975,              0.0019975,              0.0019975
                     99,                0.88175,                0.75571,                 1.3846,                0.90963,                0.92872,                 0.9572,                0.71697,                0.98856,                 0.6363,                 1.7586,               0.001915,               0.001915,               0.001915
                    100,                0.86327,                0.74224,                 1.3757,                0.90388,                0.91885,                 0.9597,                0.72496,                0.96847,                0.63578,                 1.7341,              0.0018325,              0.0018325,              0.0018325
                    101,                0.88079,                0.75422,                 1.3806,                0.90465,                0.91137,                 0.9521,                0.71936,                0.97307,                0.65112,                 1.7418,                0.00175,                0.00175,                0.00175
                    102,                0.88077,                 0.7348,                 1.3844,                0.94971,                0.89199,                0.95784,                0.71635,                0.97981,                 0.6212,                   1.75,              0.0016675,              0.0016675,              0.0016675
                    103,                0.86972,                0.73752,                 1.3772,                0.91737,                0.91594,                0.95976,                0.72358,                0.94861,                 0.6191,                  1.705,               0.001585,               0.001585,               0.001585
                    104,                0.87117,                0.73761,                 1.3799,                0.90113,                0.94405,                0.96638,                0.72882,                0.97553,                0.60164,                 1.7415,              0.0015025,              0.0015025,              0.0015025
                    105,                0.86807,                0.73297,                 1.3722,                0.90079,                0.92494,                0.95749,                 0.7283,                0.96061,                 0.6332,                 1.7272,                0.00142,                0.00142,                0.00142
                    106,                0.86156,                0.72364,                 1.3721,                0.89855,                0.94815,                0.96407,                0.73783,                 0.9469,                0.61932,                 1.7094,              0.0013375,              0.0013375,              0.0013375
                    107,                 0.8588,                0.72635,                 1.3779,                0.93665,                0.92262,                0.95978,                0.73212,                0.96826,                0.62061,                 1.7264,               0.001255,               0.001255,               0.001255
                    108,                0.84639,                0.71985,                 1.3691,                 0.9277,                0.90798,                0.96006,                0.73196,                0.95744,                 0.5911,                 1.7099,              0.0011725,              0.0011725,              0.0011725
                    109,                0.85723,                0.72114,                 1.3689,                0.90837,                0.92075,                0.95811,                0.72819,                0.94873,                0.59182,                 1.7207,                0.00109,                0.00109,                0.00109
                    110,                0.84489,                0.69555,                 1.3623,                0.91694,                 0.9161,                0.95941,                0.73315,                0.97712,                 0.6066,                  1.738,              0.0010075,              0.0010075,              0.0010075
                    111,                0.72643,                0.53382,                 1.4479,                0.88604,                0.93703,                0.96468,                0.72595,                 0.9593,                 0.6132,                 1.7191,               0.000925,               0.000925,               0.000925
                    112,                0.70842,                0.49638,                 1.4279,                0.91684,                0.93217,                0.96961,                0.73066,                0.96721,                0.57939,                  1.727,              0.0008425,              0.0008425,              0.0008425
                    113,                0.69122,                0.48306,                 1.4154,                0.92947,                0.91493,                0.96576,                0.73229,                 0.9622,                0.58529,                 1.7328,                0.00076,                0.00076,                0.00076
                    114,                0.70656,                0.47115,                 1.4273,                0.92083,                0.91069,                0.96864,                 0.7263,                0.96424,                 0.5776,                 1.7307,              0.0006775,              0.0006775,              0.0006775
                    115,                0.69636,                0.46139,                 1.4198,                0.92606,                0.90961,                0.96832,                0.72731,                0.96884,                0.59071,                 1.7318,               0.000595,               0.000595,               0.000595
                    116,                0.68155,                0.44327,                 1.4074,                0.93274,                0.91044,                0.96789,                0.72847,                0.96925,                0.57001,                 1.7414,              0.0005125,              0.0005125,              0.0005125
                    117,                0.68579,                0.45803,                 1.4153,                0.91517,                0.91925,                  0.968,                0.72841,                0.95696,                0.57802,                 1.7271,                0.00043,                0.00043,                0.00043
                    118,                0.68736,                0.44203,                 1.4057,                0.92434,                0.91684,                0.96582,                 0.7271,                0.96487,                0.58158,                 1.7321,              0.0003475,              0.0003475,              0.0003475
                    119,                0.67055,                0.43865,                  1.386,                 0.9356,                 0.9171,                0.96777,                0.73271,                0.95313,                0.56979,                 1.7243,               0.000265,               0.000265,               0.000265
                    120,                0.66169,                0.44041,                 1.3879,                0.93441,                0.91161,                0.96574,                0.72827,                0.95723,                0.56955,                 1.7246,              0.0001825,              0.0001825,              0.0001825
